"name","guess","confidence","female","male","source"
"ALLEN D. HERTZ US","male",0.888888889,1,8,"google"
"Alois Wolfsgruber AT","male",1,0,1,"ask"
"Alok K. Awasthi US","male",1,0,2,"ask"
"Amal R. Bhattarai US","male",1,0,1,"google"
"Ammar Khodor IT","male",1,0,2,"google"
"Amnon Shashua IL","male",1,0,5,"google"
"Amos Bonazzoli IT","male",0.75,1,3,"google"
"Amotz Yavnai IL","male",1,0,3,"google"
"Amr Salahieh US","male",1,0,3,"ask"
"An He CN","male",1,0,12,"bing"
"Ana Bercovici US","male",0.666666667,1,2,"google"
"Anastasia G. Daifotis US","unknown",0.5,2,2,"google"
"Anastasia G. Daifotis Westfield NJ US","female",0.8,3,0,"yahoo"
"Anatoly Ivanovich Kiselev RU","male",1,0,3,"google"
"ANDERS KANSTRUP DK","male",1,0,4,"google"
"Anders Unger SE","male",1,0,1,"ask"
"Andre Bouille FR","male",1,0,6,"google"
"Andre Richter DE","male",1,0,1,"ask"
"Andrea Hwang TW","male",1,0,1,"google"
"Andrea Ronchieri IT","male",1,0,1,"google"
"Andreas A. Weiss US","female",1,3,0,"ask"
"Andreas Bilek AT","female",1,2,0,"ask"
"Andreas Bogli CH","male",1,0,1,"google"
"Andreas Haupt US","male",1,0,1,"google"
"Andreas Miescher CH","male",1,0,2,"google"
"Andreas Norbert Wiswesser DE","female",1,1,0,"ask"
"Andreas Strauss DE","male",1,0,3,"google"
"Andreas Willman DE","male",1,0,7,"ask"
"Andrew Baxter GB","male",1,0,1,"google"
"Andrew Baxter Wymeswold GB","male",0.75,0,2,"yahoo"
"Andrew Darley GB","male",1,0,3,"google"
"Andrew David White US","male",1,0,6,"google"
"Andrew G. Lee US","male",1,0,5,"ask"
"Andrew G. Rabroker US","male",1,0,2,"google"
"Andrew Hayes Thompson CA","male",1,0,3,"google"
"Andrew M. Lennon US","male",1,0,6,"google"
"Andrew Moore US","male",1,0,2,"google"
"Andrew O. Stewart US","male",1,0,4,"google"
"Andrew P. Kramer US","male",1,0,3,"google"
"Andrew Simon Craig GB","male",1,0,2,"google"
"Andrew T. Yule Felbridge GB","male",0.833333333,0,4,"yahoo"
"Andrew T. Yule GB","male",1,0,1,"ask"
"Andy Millman ES","male",1,0,7,"ask"
"Angel R. Rodriguez US","male",1,0,1,"google"
"Angela SHE US","female",1,12,0,"bing"
"Angelo Yializis US","female",1,1,0,"ask"
"An-Hao Lin US","male",1,0,3,"ask"
"Anita Lieberman IL","female",1,1,0,"google"
"Anna E. Crivici US","male",1,0,1,"google"
"Anne A. Gershon US","female",1,9,0,"ask"
"ANNE E. MILLER US","male",1,0,2,"google"
"Anne J. Osinga NL","female",1,1,0,"google"
"ANNE W. DOMBROWSKI US","female",0.75,3,1,"ask"
"ANNE-EMMANUELLE GUISE FR","female",1,1,0,"google"
"Annette Sanger DE","male",1,0,1,"ask"
"Annette Skinhoj DK","male",1,0,1,"google"
"Anni Warri FI","male",1,0,1,"google"
"Ann-Kristin Honerud NO","female",1,3,0,"ask"
"Anthony B. Brennan Gainesville FL US","male",0.9,0,8,"yahoo"
"Anthony B. Brennan US","male",1,0,8,"google"
"Anthony C. Gilby Foxborough MA US","male",0.75,0,2,"yahoo"
"ANTHONY CLARKE GB","male",1,0,4,"google"
"Anthony J. Hamline US","male",1,0,1,"ask"
"Anthony Joseph Frend GB","male",1,0,4,"google"
"Anthony K. Stamper US","male",1,0,1,"google"
"Anthony Martin MY","male",1,0,1,"google"
"Anthony Orkin Davlin US","male",1,0,1,"google"
"Anthony Paolitto CA","male",1,0,1,"google"
"Anthony Prince US","male",1,0,7,"google"
"Anthony Sumner DE","male",1,0,1,"google"
"ANTHONY Y. KIM US","male",1,0,4,"google"
"Anthony Yen TW","male",1,0,4,"google"
"ANTONI MISZEWSKI GB","male",1,0,3,"google"
"ANTONIO GIORDANI IT","male",1,0,3,"google"
"ANTONIO GIORDANI PAVIA IT","male",0.75,0,2,"yahoo"
"Antonio Guarna IT","male",1,0,3,"ask"
"Antonio Nobre Brossard CA","male",0.923076923,0,11,"yahoo"
"Antonio Nobre CA","male",1,0,4,"google"
"Antonius G. C. Teunisse NL","male",1,0,1,"ask"
"Antonius G. C. Teunisse Oss NL","male",0.666666667,0,1,"yahoo"
"Antonius Petrus Adrianus de Man NL","male",1,0,12,"bing"
"Aodong He CN","male",1,0,12,"bing"
"Aravinda Kar Orlando FL US","male",0.833333333,0,4,"yahoo"
"Aravinda Kar US","male",1,0,2,"google"
"ARBA L. AGER MIAMI FL US","male",0.75,0,2,"yahoo"
"ARI UUSIMAKI SE","male",1,0,2,"google"
"Arie Rudich IL","unknown",0.5,1,1,"google"
"Ariel C P Jacala US","male",1,0,2,"google"
"Arif A Mamedov US","male",1,0,1,"ask"
"Arina Ceausu IL","unknown",0.5,1,1,"google"
"Arja Karjalainen FI","male",1,0,4,"google"
"Arkady Kochman US","male",1,0,1,"ask"
"Armen P. Sarvazyan US","male",1,0,4,"ask"
"Armin Meinzer DE","male",1,0,1,"google"
"Arnab Mukherjee US","male",1,0,1,"google"
"Arnaud Lefebvre FR","male",1,0,1,"google"
"Arno Knebelkamp DE","female",1,2,0,"ask"
"Arno Toputh DE","male",1,0,4,"ask"
"Arnold M. Heyman US","male",1,0,2,"ask"
"Arpad Sekeres US","unknown",0.5,1,1,"google"
"Arthur A. Santilli US","male",1,0,4,"google"
"Arthur C. Santora US","male",1,0,4,"google"
"Arthur C. Santora Watchung NJ US","male",0.714285714,1,4,"yahoo"
"Arthur J. Spohn US","male",1,0,3,"google"
"Arthur Vanmoor US","male",1,0,3,"google"
"Arun A. Aiyer US","male",1,0,2,"ask"
"ARUTO YOSHIDA JP","male",1,0,1,"ask"
"ATEF A. HELMY ANAHEIM CA US","male",0.5,3,3,"yahoo"
"ATEF A. HELMY US","male",1,0,1,"google"
"Atsuko Hashimoto JP","unknown",0.5,1,1,"google"
"Atsuko Hashimoto Tokyo JP","female",0.875,6,0,"yahoo"
"Atsushi Emoto JP","male",1,0,1,"google"
"Atsushi Hohkita JP","male",1,0,3,"google"
"Atsushi Itoh JP","male",1,0,9,"google"
"ATSUSHI KAJIYAMA JP","male",1,0,1,"google"
"Atsushi Miyazaki JP","male",1,0,1,"google"
"Atsushi Moto JP","male",1,0,1,"ask"
"Atsushi Murakami JP","male",1,0,2,"google"
"Atsushi Ogishima JP","male",1,0,4,"google"
"Atsushi Sakai JP","male",1,0,2,"google"
"Augustin Hittinger FR","male",1,0,1,"google"
"Austen John Woolfe GB","male",1,0,2,"google"
"Austin R. Blew US","male",1,0,1,"google"
"Austin R. Zurface US","male",1,0,1,"google"
"Avi Penner IL","male",0.75,1,3,"google"
"Avner Korman IL","male",1,0,3,"google"
"Axel Konig DE","male",1,0,1,"google"
"Aylvin J.A.A. Dias NL","male",1,0,2,"google"
"B. Reno Lauro US","male",1,0,1,"ask"
"Bach D. Tran US","male",1,0,5,"google"
"Baik-soon Choi KR","male",1,0,1,"google"
"Baik-soon Choi Kyungki-do KR","male",0.75,0,2,"yahoo"
"Bao He CN","male",1,0,12,"bing"
"Barbara Haeberlin CH","male",1,0,2,"google"
"Barbara Haeberlin Riehen CH","female",0.8,3,0,"yahoo"
"Barbara S. Slusher US","female",1,2,0,"ask"
"Barnett S. Pitzele US","male",1,0,1,"ask"
"Barry Berkowitz US","male",1,0,2,"ask"
"Barry Chin US","male",1,0,3,"google"
"Barry Ed Smith US","male",1,0,1,"google"
"Barry Victor Lloyd Potter GB","male",1,0,2,"google"
"BASAB BANDYOPADHYAY US","male",1,0,3,"google"
"Bastiaan Driehuys Durham NC US","male",0.666666667,0,1,"yahoo"
"Bastiaan Driehuys US","male",1,0,4,"google"
"Baudouin Van Cauwenberghe BE","male",1,0,1,"ask"
"Benedetto Vigna IT","male",1,0,3,"ask"
"Benedikt Hanggi CH","male",1,0,2,"google"
"Benjamin Doron IL","unknown",0.5,1,1,"ask"
"Benjamin Jin Man LIU GB","male",1,0,12,"bing"
"Benjamin N. Eldridge Danville CA US","male",0.833333333,0,4,"yahoo"
"Benjamin N. Eldridge US","male",1,0,1,"google"
"Benjamin R. Yerxa US","male",1,0,3,"ask"
"Benjamin Vakoc US","male",1,0,2,"ask"
"Benjamin Y.H. Liu US","male",1,0,2,"google"
"Benqiao He CN","male",1,0,12,"bing"
"Bernard Charles Sherman CA","male",1,0,8,"google"
"Bernard K. Siu US","female",1,1,0,"google"
"Bernd Denfeld DE","male",1,0,6,"ask"
"BERND FABRY DE","male",1,0,3,"google"
"BERND FABRY KORSCHENBROICH DE","male",0.8,0,3,"yahoo"
"Bernd Janssen US","male",1,0,3,"google"
"Bernd K. Appelt US","male",1,0,1,"ask"
"Bernd Kikebusch DE","male",1,0,3,"google"
"Bernd Moosmann DE","male",1,0,2,"google"
"Bernd Nickel DE","male",1,0,5,"google"
"Bernd Riedl DE","male",1,0,1,"google"
"Bernd Rosenau DE","male",1,0,1,"ask"
"BERND SCHAFER DE","male",1,0,1,"google"
"BERND ZIERENBERG DE","male",1,0,2,"google"
"Bernhard Kutscher DE","female",0.6,3,2,"google"
"Bernhard Weigand DE","male",1,0,4,"google"
"BEVERLY K. FOLMER US","female",0.666666667,2,1,"ask"
"Bharat Lagu US","male",1,0,2,"ask"
"Bharat S. Bagepalli US","male",1,0,3,"ask"
"Biao HE US","male",1,0,12,"bing"
"Biao He US","male",1,0,12,"bing"
"Bichon Daniel FR","male",0.75,1,3,"google"
"Bill Farmer US","male",1,0,1,"ask"
"Bin HE CN","male",1,0,12,"bing"
"Bin He CN","male",1,0,12,"bing"
"Bin HE US","male",1,0,12,"bing"
"Bin He US","male",1,0,12,"bing"
"Bin Wei US","male",1,0,1,"ask"
"Binbin HE CN","male",1,0,12,"bing"
"Binbin He CN","male",1,0,12,"bing"
"Bing He US","male",1,0,12,"bing"
"Bingming He CN","male",1,0,12,"bing"
"Bingwei Vera Yang US","male",1,0,1,"google"
"Bipin K. Dalmia US","female",1,1,0,"google"
"Birgit Hauer DE","female",1,2,0,"ask"
"Birgit Michelsen DK","female",1,2,0,"google"
"Biswanath Sinha US","male",1,0,1,"ask"
"Bjorn Magnusson SE","male",1,0,1,"google"
"Bjorn Rydevik SE","male",1,0,1,"ask"
"Bo HE US","male",1,0,12,"bing"
"Bo He US","male",1,0,12,"bing"
"Bob Baoping He US","male",1,0,12,"bing"
"Bob E. Sherwood US","male",1,0,2,"google"
"Bodo Asmussen DE","female",1,1,0,"ask"
"Bog Kyou Lee KR","male",1,0,2,"google"
"Bogdan Suparschi US","male",1,0,3,"google"
"Boguslaw Swedek US","male",1,0,2,"google"
"Boris Bangert DE","male",1,0,1,"google"
"Braj Bhushan Lohray IN","male",1,0,2,"ask"
"Braj Brushan Lohray IN","male",1,0,1,"google"
"Brandon T. Berg US","male",1,0,1,"google"
"BRENT BLACKBURN US","male",1,0,3,"google"
"BRENT E. BURNS US","male",1,0,10,"google"
"Brent Edward Sealy US","male",1,0,2,"ask"
"BRETT L. GARRICK US","male",1,0,3,"ask"
"Brian C. Goess US","male",1,0,2,"google"
"Brian Clemens US","male",1,0,7,"google"
"Brian D. Kuras US","male",1,0,5,"google"
"Brian D. Mallen US","male",1,0,1,"ask"
"BRIAN E. KRUSCHWITZ US","male",1,0,2,"google"
"Brian E. Spiewak US","male",1,0,1,"google"
"Brian Edward Moore US","male",1,0,8,"ask"
"Brian Ellis Clouse US","male",1,0,8,"ask"
"Brian L. Lawrence US","male",1,0,1,"ask"
"Brian R. Dana US","male",1,0,2,"ask"
"Brian Russell Littleton CO US","male",0.75,0,2,"yahoo"
"Brian Russell US","male",1,0,2,"google"
"Brian Scott MacDougall US","male",1,0,3,"ask"
"Brian T. Harper US","male",1,0,3,"ask"
"Brian T. O'Neill US","male",1,0,1,"ask"
"Brian Thomas O'Neill US","male",1,0,4,"ask"
"Brian Whittle GB","male",1,0,7,"ask"
"Brice Harmand US","male",1,0,1,"google"
"Brooke Schumm US","male",1,0,2,"google"
"Bruce Allen Lefker US","male",1,0,1,"google"
"Bruce B. Fitts US","male",1,0,1,"google"
"Bruce Bower US","male",1,0,8,"google"
"Bruce Carroll Newberry FL US","male",0.666666667,0,1,"yahoo"
"Bruce Carroll US","male",1,0,2,"google"
"Bruce David Roth Plymouth MI US","male",0.75,0,2,"yahoo"
"Bruce David Roth US","male",1,0,6,"google"
"Bruce H. Levin Philadelphia PA US","male",0.666666667,0,1,"yahoo"
"Bruce H. Levin US","male",1,0,6,"google"
"Bruce M. Alexander US","male",0.75,2,6,"ask"
"Bruce Peters DE","male",1,0,4,"google"
"Bruno Francoeur CA","male",1,0,2,"google"
"Bruno Leuenberger CH","male",1,0,2,"google"
"Bruno Murari IT","male",1,0,1,"ask"
"Bruno Zoccali CA","male",0.75,1,3,"google"
"BRYANT VILLEPONTEAU US","male",0.666666667,1,2,"ask"
"Bulent O. Yavuz US","male",0.75,1,3,"google"
"Burkhard Bischoff-Beiermann DE","male",1,0,1,"google"
"Burkhard Haase DE","male",1,0,1,"google"
"BYEONG S. CHANG US","male",1,0,1,"google"
"Byong-man Kim KR","male",1,0,12,"bing"
"Byoung Yoon Kim US","male",1,0,3,"ask"
"Byoung-Kee Kim KR","male",1,0,1,"google"
"Byron A. Pardue US","unknown",0.5,1,1,"google"
"Byung Man Kwak KR","male",1,0,12,"bing"
"C. Bertil Stromberg US","male",1,0,1,"ask"
"C. Kumar N Patel US","male",1,0,5,"ask"
"C. Roger Anderson US","male",1,0,5,"yahoo"
"Calin V. Roatis US","male",1,0,2,"google"
"Cara A. Geary US","male",1,0,2,"ask"
"Carl A. Udovich Joliet IL US","male",0.666666667,0,1,"yahoo"
"Carl A. Udovich US","male",1,0,3,"google"
"CARL ORR SCOTCH PLAINS NJ US","male",0.909090909,0,9,"yahoo"
"CARL ORR US","male",1,0,1,"google"
"CARLO BRUGNARA US","male",1,0,2,"google"
"Carlo Rossi IT","male",1,0,1,"google"
"CARLOS A COLMENARES ALAMO CA US","male",0.75,0,2,"yahoo"
"CARLOS A COLMENARES US","male",1,0,1,"google"
"CARLOS GARCIA-ECHEVERRIA CH","male",1,0,1,"google"
"CARMELA SPECIALE IT","unknown",0.5,1,1,"google"
"Carmen Ka Man Robinson US","male",1,0,12,"bing"
"Carmine Lisio CA","male",0.666666667,1,2,"google"
"Carmine Lisio Montreal North CA","male",0.75,0,2,"yahoo"
"CAROLYN CAES MAHWAH NJ US","male",0.666666667,0,1,"yahoo"
"CAROLYN CAES US","female",0.6,6,4,"google"
"Carson J. Matherne US","male",1,0,2,"ask"
"Catherine Cohen FR","female",1,9,0,"ask"
"CATHERINE DENISE PRESCOTT CAMBRIDGE GB","female",0.666666667,1,0,"yahoo"
"CATHERINE DENISE PRESCOTT GB","female",1,1,0,"google"
"CATHERINE JEAN RANDALL US","unknown",0.5,1,1,"google"
"Catherine M. Davis US","female",1,1,0,"google"
"Catherine M. McCarty US","female",1,1,0,"google"
"Cecilia WONG MAN SAI US","male",1,0,12,"bing"
"CHANDRIKA POORNA GOVARDHAN US","male",1,0,1,"google"
"Chang HE CN","male",1,0,12,"bing"
"Chang He US","male",1,0,12,"bing"
"Chang-Man Park US","male",1,0,12,"bing"
"Changmin Son GB","male",1,0,5,"google"
"Changmin Son Rewley Road GB","male",0.8,0,3,"yahoo"
"Chao HE CN","male",1,0,12,"bing"
"Chaobin HE SG","male",1,0,12,"bing"
"CHAO-YUAN HUANG TW","male",1,0,1,"google"
"Charles Alois Dvorak US","male",1,0,3,"google"
"Charles F. Vesey US","male",1,0,2,"google"
"Charles Jean Pierre Douguet FR","male",1,0,2,"google"
"Charles Keith Curtis US","male",1,0,1,"google"
"Charles S. Swindell US","male",1,0,1,"google"
"Charles W.C. Lin SG","male",1,0,2,"google"
"Chee-Keung Chung HK","male",1,0,2,"ask"
"Chen HE CN","male",1,0,12,"bing"
"Cheng HE CN","male",1,0,12,"bing"
"CHENGLI HE US","male",1,0,12,"bing"
"Chengxi HE CN","male",1,0,12,"bing"
"Chen-Hua Yu TW","male",1,0,1,"google"
"Chen-Kang David Chen US","male",1,0,2,"google"
"CHI CHUNG CHAN CA","male",1,0,1,"google"
"Chi Man Lee CN","male",1,0,12,"bing"
"Chi Man SONG KR","male",1,0,12,"bing"
"Chia-Her LIN TW","female",1,12,0,"bing"
"Chia-His Chen TW","male",1,0,12,"bing"
"Chiaki Shiga JP","male",1,0,1,"google"
"Chien-Cheng He TW","male",1,0,12,"bing"
"Chih-Fu Huang TW","male",1,0,5,"google"
"Chikara Tanaka JP","male",1,0,1,"google"
"Chikashi Ono JP","male",1,0,1,"google"
"Chin-Chen Chen TW","male",1,0,3,"ask"
"Ching He US","male",1,0,12,"bing"
"Ching-Fang Lin US","male",1,0,1,"ask"
"Chris P. Miller US","male",1,0,6,"google"
"CHRISTENSEN I. ROBERT US","unknown",0.5,1,1,"google"
"CHRISTER CEDERBERG MOLNDAL SE","male",0.75,0,2,"yahoo"
"CHRISTER CEDERBERG SE","male",1,0,1,"google"
"Christer Eckerman FI","female",0.8,4,1,"ask"
"Christer Strom SE","male",1,0,1,"google"
"Christian Allen Todd US","male",1,0,1,"google"
"Christian Beck DE","male",0.8,1,4,"google"
"Christian Behl DE","male",1,0,1,"google"
"Christian Belley CA","female",1,3,0,"ask"
"Christian Boie DE","male",1,0,1,"google"
"Christian Forys FR","male",1,0,2,"google"
"Christian Grosse DE","male",1,0,2,"google"
"Christian LeBlach FR","male",1,0,12,"google"
"Christian Pronovost CA","male",1,0,2,"google"
"Christof Faria Erlangen DE","male",0.8,0,3,"yahoo"
"Christof Lausser DE","male",1,0,1,"google"
"Christof Pfeiffer DE","male",1,0,1,"ask"
"Christoph Nagler CH","male",1,0,2,"google"
"Christophe Chanel DE","male",1,0,2,"ask"
"Christophe Mathieu FR","male",1,0,3,"google"
"Christopher A. Kowalski US","male",1,0,4,"google"
"CHRISTOPHER BERNARD WADE NZ","male",1,0,2,"google"
"Christopher Buckley CH","male",1,0,1,"google"
"Christopher C. Lang US","male",1,0,4,"ask"
"Christopher C. Langenfeld US","male",1,0,1,"google"
"Christopher Charles Glynn Hamilton OH US","male",0.875,0,6,"yahoo"
"Christopher Charles Glynn US","male",1,0,2,"google"
"Christopher Donald Johnson US","male",1,0,3,"google"
"Christopher Edward Wolfe Niskayuna NY US","male",0.75,0,2,"yahoo"
"Christopher Edward Wolfe US","male",1,0,2,"google"
"Christopher Lee Holmes GB","female",0.6,3,2,"ask"
"Christopher M. Gaylo US","male",1,0,2,"google"
"Christopher P. Brown US","male",1,0,2,"google"
"Christopher P. Christenson US","male",1,0,2,"ask"
"Christopher R. Banares US","male",1,0,1,"google"
"Christopher Turchik Jagoe US","male",1,0,2,"ask"
"Christopher V. Ragland US","male",1,0,9,"google"
"Christopher Vincent Jahnes US","male",1,0,1,"google"
"Chuan HE CN","male",1,0,12,"bing"
"Chuan He US","male",1,0,12,"bing"
"Chuk Chui MAN US","male",1,0,12,"bing"
"Chuk Chui Man US","male",1,0,12,"bing"
"Chun He CN","male",1,0,12,"bing"
"Chunbai He US","male",1,0,12,"bing"
"CHUNG II HONG KR","male",1,0,1,"google"
"Chung K. Chu US","male",1,0,5,"ask"
"CHUNG K. CHU US","male",1,0,4,"google"
"Chung Man Chin BR","male",1,0,12,"bing"
"Chunghong He US","male",1,0,12,"bing"
"Chung-Long Chang TW","male",1,0,4,"google"
"Chunhong HE US","male",1,0,12,"bing"
"Chunhong He US","male",1,0,12,"bing"
"Chunlin He CH","male",1,0,12,"bing"
"Chun-Man HUANG TW","male",1,0,12,"bing"
"Chun-Man Lee JP","male",1,0,12,"bing"
"Chunnian He CN","male",1,0,12,"bing"
"Chunyong He CN","male",1,0,12,"bing"
"Chuo Chen US","unknown",0.5,1,1,"ask"
"Chyi-Cheng Chen Binningen CH","male",0.714285714,1,4,"yahoo"
"Chyi-Cheng Chen CH","male",1,0,1,"google"
"CLARA I. WILLAMIL US","male",1,0,1,"google"
"Clarence Knutson Peoria IL US","male",0.5,1,1,"yahoo"
"Clarence Knutson US","male",0.666666667,1,2,"google"
"Claude Forsey Purchase Ann Arbor MI US","male",0.777777778,1,6,"yahoo"
"Claude Forsey Purchase US","male",1,0,5,"ask"
"Claude Imbert FR","male",1,0,1,"google"
"Claude Singer IL","female",0.9,9,1,"ask"
"Claudio Bellotti IT","male",1,0,2,"google"
"Claudio De Simone IT","male",1,0,3,"google"
"Claudio Torghele IT","male",1,0,2,"google"
"Claus Zurbig DE","male",1,0,1,"google"
"Clement Robert FR","male",1,0,3,"google"
"CLIFFORD D. WRIGHT BOULDER CO US","male",0.875,0,6,"yahoo"
"CLIFFORD D. WRIGHT US","male",1,0,12,"google"
"Clifford G. Westland US","male",1,0,3,"ask"
"COACH WEI US","male",1,0,6,"google"
"Cobus de Roos NL","male",1,0,1,"ask"
"CONCEICAO MINETTI US","male",1,0,1,"ask"
"Cordula Hopmann DE","male",1,0,3,"google"
"Corinna Pfleger DE","female",1,1,0,"google"
"Cornelia Wing Yin MAN HK","male",1,0,12,"bing"
"Craig A. Walley US","male",1,0,4,"google"
